,src,dst,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23
0,7,4,0.018604942,0.002909276,0.002825124,0.004171566,0.002873211,0.003551241,0.005758444,0.009629464,0.008429688,0.018472702,0.013031634,2.923685596,0.039751293,0.06764428,0.034961807,0.099319326,0.892722241,0.519998269,0.100812433,0.04288177,0.096126335,0.053018554,0.010747492,0.015570639
1,4,7,0.018604942,0.002909276,0.002825124,0.004171566,0.002873211,0.003551241,0.005758444,0.009629464,0.008429688,0.018472702,0.013031634,2.923685596,0.039751293,0.06764428,0.034961807,0.099319326,0.892722241,0.519998269,0.100812433,0.04288177,0.096126335,0.053018554,0.010747492,0.015570639
2,0,8,3.36851E-05,3.11846E-05,4.11867E-05,3.42141E-05,0.000134572,7.40543E-05,3.16895E-05,4.31823E-05,0.001456826,0.00132247,0.006076733,0.001027864,0.003735222,0.007176175,0.001261015,0.000865041,0.003670497,0.002420181,0.006441041,3.75561E-05,2.79146E-05,2.979E-05,7.41986E-05,3.71955E-05
3,8,0,3.36851E-05,3.11846E-05,4.11867E-05,3.42141E-05,0.000134572,7.40543E-05,3.16895E-05,4.31823E-05,0.001456826,0.00132247,0.006076733,0.001027864,0.003735222,0.007176175,0.001261015,0.000865041,0.003670497,0.002420181,0.006441041,3.75561E-05,2.79146E-05,2.979E-05,7.41986E-05,3.71955E-05
4,6,5,4.073330592,3.938143016,2.454034637,2.086032829,2.041648333,1.996451164,1.333181859,1.603792638,1.802330306,2.25658374,2.257639255,2.250830105,2.02782326,1.503535612,1.995316306,2.741572115,2.107152732,3.611012933,3.395666381,3.054302483,2.780195763,3.317620837,5.702397869,6.858036936
5,5,6,4.073330592,3.938143016,2.454034637,2.086032829,2.041648333,1.996451164,1.333181859,1.603792638,1.802330306,2.25658374,2.257639255,2.250830105,2.02782326,1.503535612,1.995316306,2.741572115,2.107152732,3.611012933,3.395666381,3.054302483,2.780195763,3.317620837,5.702397869,6.858036936
6,3,0,3.345073826,1.495019367,1.050092448,0.846500814,0.309407542,0.34071472,0.531858979,1.572793218,1.41907283,2.922351176,0.80910339,1.828636415,3.280211391,1.06976733,1.68255949,3.319012962,1.123894295,2.381523932,2.260447548,3.722113625,2.549374746,3.145302721,4.095606993,7
7,0,3,3.345073826,1.495019367,1.050092448,0.846500814,0.309407542,0.34071472,0.531858979,1.572793218,1.41907283,2.922351176,0.80910339,1.828636415,3.280211391,1.06976733,1.68255949,3.319012962,1.123894295,2.381523932,2.260447548,3.722113625,2.549374746,3.145302721,4.095606993,7
8,7,0,0.016897846,0.063494353,0.025796384,0.02199509,0.010574378,0.012329561,0.031309583,0.040645715,0.095251147,0.034098641,0.142249183,0.514593266,0.041655546,0.023721421,0.020439469,0.013437971,0.391297657,0.116178702,0.075607522,0.563976428,0.152465311,0.094128311,0.031828925,0.050246327
9,0,7,0.016897846,0.063494353,0.025796384,0.02199509,0.010574378,0.012329561,0.031309583,0.040645715,0.095251147,0.034098641,0.142249183,0.514593266,0.041655546,0.023721421,0.020439469,0.013437971,0.391297657,0.116178702,0.075607522,0.563976428,0.152465311,0.094128311,0.031828925,0.050246327
10,3,1,0.034247712,0.008523458,0.00789592,0.007102481,0.009607825,0.016472274,0.0312086,0.060325406,0.067911164,0.053545109,0.559610109,0.048945568,0.031211004,0.079658869,0.060464859,0.32909685,0.13013361,0.118854755,0.086501679,0.333102515,0.244956253,0.062232064,0.046262301,0.01624386
11,1,3,0.034247712,0.008523458,0.00789592,0.007102481,0.009607825,0.016472274,0.0312086,0.060325406,0.067911164,0.053545109,0.559610109,0.048945568,0.031211004,0.079658869,0.060464859,0.32909685,0.13013361,0.118854755,0.086501679,0.333102515,0.244956253,0.062232064,0.046262301,0.01624386
12,5,7,0.060212401,0.031372096,0.030554614,0.02776796,0.038036984,0.031066743,0.050772882,0.137784286,0.236069736,0.262880761,0.515199165,0.174414719,0.233316743,0.331960443,0.225050552,0.271209465,0.123471127,0.77922921,0.735770393,0.632308354,0.549381959,2.740381957,0.932317251,0.151544441
13,7,5,0.060212401,0.031372096,0.030554614,0.02776796,0.038036984,0.031066743,0.050772882,0.137784286,0.236069736,0.262880761,0.515199165,0.174414719,0.233316743,0.331960443,0.225050552,0.271209465,0.123471127,0.77922921,0.735770393,0.632308354,0.549381959,2.740381957,0.932317251,0.151544441
14,2,6,0.707365278,1.170618233,0.423318931,0.022887108,0.027873752,0.021196843,0.035877868,0.071029619,0.141304269,0.394101142,0.072404914,0.171791561,0.473973999,0.065304837,0.032054935,0.089701883,0.060933709,0.060258084,1.765166105,2.180355893,1.125108497,0.636054348,0.972203188,1.612744073
15,6,2,0.707365278,1.170618233,0.423318931,0.022887108,0.027873752,0.021196843,0.035877868,0.071029619,0.141304269,0.394101142,0.072404914,0.171791561,0.473973999,0.065304837,0.032054935,0.089701883,0.060933709,0.060258084,1.765166105,2.180355893,1.125108497,0.636054348,0.972203188,1.612744073
16,4,2,0.010812409,0.006688931,0.00680434,0.006852428,0.006527839,0.006648057,0.006888493,0.007335704,0.161873574,0.499424156,0.280353249,0.501152891,0.080824984,0.171551125,0.155492401,0.586803427,0.029448608,0.130458199,0.061775236,0.025507861,0.025522287,0.02180755,0.041239592,0.006744231
17,2,4,0.010812409,0.006688931,0.00680434,0.006852428,0.006527839,0.006648057,0.006888493,0.007335704,0.161873574,0.499424156,0.280353249,0.501152891,0.080824984,0.171551125,0.155492401,0.586803427,0.029448608,0.130458199,0.061775236,0.025507861,0.025522287,0.02180755,0.041239592,0.006744231
18,7,4,0.008489797,0.01804713,0.005890683,0.005854618,0.005313637,0.006034945,0.006503795,0.006058989,0.228077642,0.141746672,0.30328604,0.389381382,0.093738805,0.013709664,0.017525384,0.147697464,0.015825501,0.027130804,0.062859602,0.140102089,0.227435677,0.132033055,0.006227294,0.005914727
19,4,7,0.008489797,0.01804713,0.005890683,0.005854618,0.005313637,0.006034945,0.006503795,0.006058989,0.228077642,0.141746672,0.30328604,0.389381382,0.093738805,0.013709664,0.017525384,0.147697464,0.015825501,0.027130804,0.062859602,0.140102089,0.227435677,0.132033055,0.006227294,0.005914727
20,6,5,0,0,0,2.40436E-05,2.40436E-05,8.17483E-05,4.80872E-05,1.20218E-05,0.011584209,0.073501302,0.02588775,0.01513545,0.073503706,0.02989101,0.251746167,0.021567114,0.007838215,0.015503317,0.017924508,0.00387102,0.001192563,0.023279019,0.018451063,0.001704692
21,5,6,0,0,0,2.40436E-05,2.40436E-05,8.17483E-05,4.80872E-05,1.20218E-05,0.011584209,0.073501302,0.02588775,0.01513545,0.073503706,0.02989101,0.251746167,0.021567114,0.007838215,0.015503317,0.017924508,0.00387102,0.001192563,0.023279019,0.018451063,0.001704692
22,8,2,0.005662269,0.006371555,0.006046967,0.006191228,0.006275381,0.004989048,0.005662269,0.019073792,0.197823573,1.82380365,0.390581158,0.166816939,0.226683112,4.750499506,0.663314988,0.615999577,1.254133697,0.668371358,0.246997555,0.115438159,0.06493697,0.081591975,0.112300468,0.009295258
23,2,8,0.005662269,0.006371555,0.006046967,0.006191228,0.006275381,0.004989048,0.005662269,0.019073792,0.197823573,1.82380365,0.390581158,0.166816939,0.226683112,4.750499506,0.663314988,0.615999577,1.254133697,0.668371358,0.246997555,0.115438159,0.06493697,0.081591975,0.112300468,0.009295258
24,8,4,6.0109E-05,2.40436E-05,1.20218E-05,2.40436E-05,2.40436E-05,2.40436E-05,0.089588878,0.686896956,0.938650336,0.40114111,0.451272027,3.829742421,4.676123017,1.005840192,0.807985362,0.473485914,0.924409309,4.665704922,5.118070933,1.403098259,0.504535826,0.181740805,0.019273354,0.001281524
25,4,8,6.0109E-05,2.40436E-05,1.20218E-05,2.40436E-05,2.40436E-05,2.40436E-05,0.089588878,0.686896956,0.938650336,0.40114111,0.451272027,3.829742421,4.676123017,1.005840192,0.807985362,0.473485914,0.924409309,4.665704922,5.118070933,1.403098259,0.504535826,0.181740805,0.019273354,0.001281524
26,1,2,6.385765224,0.131448796,0.067778924,0.09761223,0.090379913,0.067487996,0.143352785,0.259004931,0.686565155,2.0796757,0.826888445,0.79293647,5.751254475,0.805047234,0.201884538,1.13663981,0.954644143,1.65292815,0.935094287,2.692217806,3.411972754,1.545794653,2.518990842,2.652507387
27,2,1,6.385765224,0.131448796,0.067778924,0.09761223,0.090379913,0.067487996,0.143352785,0.259004931,0.686565155,2.0796757,0.826888445,0.79293647,5.751254475,0.805047234,0.201884538,1.13663981,0.954644143,1.65292815,0.935094287,2.692217806,3.411972754,1.545794653,2.518990842,2.652507387
28,6,4,0.794761379,0.307988969,0.380639127,0.223240068,0.191978572,0.192493105,0.311242069,0.748039845,0.769142918,0.339541392,0.339353852,0.491747032,0.34878135,1.186337942,0.474551046,0.889687938,0.448504608,0.653115691,0.881263059,0.340399749,0.347555126,0.600736696,1.876752478,1.182594353
29,4,6,0.794761379,0.307988969,0.380639127,0.223240068,0.191978572,0.192493105,0.311242069,0.748039845,0.769142918,0.339541392,0.339353852,0.491747032,0.34878135,1.186337942,0.474551046,0.889687938,0.448504608,0.653115691,0.881263059,0.340399749,0.347555126,0.600736696,1.876752478,1.182594353
