,src,dst,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23
0,5,4,0.179725732,0.002441425,0.000854556,0.00077287,0.000837419,0.000835133,0.000966516,0.001385798,0.020159173,0.305580185,0.693619847,0.282545454,0.338499999,0.188929913,0.337823094,0.438337346,0.323002038,0.230876828,0.221415022,0.181066402,0.189623953,0.128560927,0.101176875,0.292121504
1,4,5,0.179725732,0.002441425,0.000854556,0.00077287,0.000837419,0.000835133,0.000966516,0.001385798,0.020159173,0.305580185,0.693619847,0.282545454,0.338499999,0.188929913,0.337823094,0.438337346,0.323002038,0.230876828,0.221415022,0.181066402,0.189623953,0.128560927,0.101176875,0.292121504
2,0,8,0.372556554,0.181358299,0.085545818,0.064865114,0.069817081,0.062734438,0.140574974,0.384257568,0.655248242,0.725059611,0.815400309,0.610441194,1.137014264,0.647697764,0.749967396,0.721962419,0.666190096,1.072453043,0.99706707,0.799060932,0.607705017,0.706847181,0.505670732,0.645138096
3,8,0,0.372556554,0.181358299,0.085545818,0.064865114,0.069817081,0.062734438,0.140574974,0.384257568,0.655248242,0.725059611,0.815400309,0.610441194,1.137014264,0.647697764,0.749967396,0.721962419,0.666190096,1.072453043,0.99706707,0.799060932,0.607705017,0.706847181,0.505670732,0.645138096
4,3,5,0.007324273,0.001591439,0.002080409,0.001975303,0.001348096,0.001369232,0.012544146,0.02876071,0.330508532,0.564964098,1.000603537,1.032272935,0.816619879,1.465459525,1.783056042,0.740463891,1.333207329,0.373079798,0.596605505,0.490527502,0.693620419,0.161766353,0.071263429,0.012400197
5,5,3,0.007324273,0.001591439,0.002080409,0.001975303,0.001348096,0.001369232,0.012544146,0.02876071,0.330508532,0.564964098,1.000603537,1.032272935,0.816619879,1.465459525,1.783056042,0.740463891,1.333207329,0.373079798,0.596605505,0.490527502,0.693620419,0.161766353,0.071263429,0.012400197
6,3,0,0.000683759,0.001066482,0.000640917,0.000654056,0.000671193,0.000645487,0.002556813,0.000789436,0.002809865,0.007491642,0.020126614,0.01187067,0.033566443,0.002558526,0.02103315,0.182752665,0.130449975,0.09002481,0.002561383,0.001980444,0.000759161,0.012095161,0.080473892,0.102983665
7,0,3,0.000683759,0.001066482,0.000640917,0.000654056,0.000671193,0.000645487,0.002556813,0.000789436,0.002809865,0.007491642,0.020126614,0.01187067,0.033566443,0.002558526,0.02103315,0.182752665,0.130449975,0.09002481,0.002561383,0.001980444,0.000759161,0.012095161,0.080473892,0.102983665
8,7,0,0.693710102,0.504942988,0.499243284,0.106188248,0.046928586,0.011032108,0.052293549,0.15934835,0.410295239,0.208115716,0.607840968,0.846339107,0.678773085,0.431354667,0.349530392,0.353193672,0.564699048,0.822343002,0.628535953,0.792227913,0.379447265,0.563449203,0.268108834,0.765710982
9,0,7,0.693710102,0.504942988,0.499243284,0.106188248,0.046928586,0.011032108,0.052293549,0.15934835,0.410295239,0.208115716,0.607840968,0.846339107,0.678773085,0.431354667,0.349530392,0.353193672,0.564699048,0.822343002,0.628535953,0.792227913,0.379447265,0.563449203,0.268108834,0.765710982
10,3,1,0.071604451,0.049229488,0.027504011,0.010925289,0.003981452,0.014182425,0.084763808,0.206222097,1.396287358,2.199847845,2.186486844,2.062722512,0.561120881,0.918050377,1.487973296,1.0442727,1.062726762,1.202591699,0.867069508,0.723841185,0.71280108,0.400892842,0.18591669,0.059420178
11,1,3,0.071604451,0.049229488,0.027504011,0.010925289,0.003981452,0.014182425,0.084763808,0.206222097,1.396287358,2.199847845,2.186486844,2.062722512,0.561120881,0.918050377,1.487973296,1.0442727,1.062726762,1.202591699,0.867069508,0.723841185,0.71280108,0.400892842,0.18591669,0.059420178
12,5,7,0.003482201,0.001364661,0.008752912,0.001135599,0.000270191,0.00366385,0.014841049,0.067732103,0.071320552,0.075328279,0.11064896,0.029961429,0.078314655,0.103364103,0.098807424,0.217580375,0.260647466,0.451270497,0.217925398,0.275008686,0.42973181,0.093276805,0.089620379,0.029471316
13,7,5,0.003482201,0.001364661,0.008752912,0.001135599,0.000270191,0.00366385,0.014841049,0.067732103,0.071320552,0.075328279,0.11064896,0.029961429,0.078314655,0.103364103,0.098807424,0.217580375,0.260647466,0.451270497,0.217925398,0.275008686,0.42973181,0.093276805,0.089620379,0.029471316
14,2,6,0.699592026,0.201936753,0.191787762,0.083808145,0.078108441,0.11404719,0.196167359,0.565607298,1.126362024,1.325548318,1.34946388,1.997284456,1.21113497,1.163073641,0.979985096,1.72419738,1.744620459,2.074367546,1.608462213,1.421609853,1.301733292,1.109306327,0.857967576,0.820029532
15,6,2,0.699592026,0.201936753,0.191787762,0.083808145,0.078108441,0.11404719,0.196167359,0.565607298,1.126362024,1.325548318,1.34946388,1.997284456,1.21113497,1.163073641,0.979985096,1.72419738,1.744620459,2.074367546,1.608462213,1.421609853,1.301733292,1.109306327,0.857967576,0.820029532
